All sky irradiance,Clear sky irradiance,ALLSKY  ICI,Temperature,Dew point,Wet bulb,Surface pressure,ALLSKY SFC PAR TOT,ALLSKY SFC UV INDEX,CLRSKY SFC PAR TOT,QV2M
7.91,8.24,0.7,36.12,1.58,18.85,95.02,144.09,2.31,148.7,4.52
6.98,7.95,0.61,35.48,6.98,21.23,95.2,129.79,2.15,145.73,6.59
7.31,7.65,0.64,34.37,11.12,22.75,95.17,137.98,2.32,143.37,8.79
5.55,7.07,0.48,28.19,16.85,22.52,95.29,106.2,1.63,132.26,12.76
8.06,8.26,0.7,28.91,11.43,20.17,95.27,148.8,2.25,151.43,9.16
7.3,8.51,0.64,30.37,10.36,20.37,95.02,135.45,2.32,155.55,8.42
7.88,8.07,0.69,30.65,12.11,21.38,95.03,145.85,2.38,148.23,9.52
7.93,8.09,0.7,29.65,15.14,22.4,95.17,149.25,2.34,151.27,11.41
5.9,8.19,0.52,29.89,15.75,22.82,95.32,113.84,1.94,153.12,11.84
8.08,8.19,0.7,30.83,14,22.41,95.34,151.72,2.45,152.74,10.62
7.94,8.25,0.7,32.77,14.87,23.83,95.16,150.73,2.52,155.18,11.17
7.99,8.12,0.7,33.94,14.55,24.24,95.01,147.91,2.45,149.41,10.99
7.49,8.25,0.65,34.01,11.8,22.9,94.94,139.59,2.27,151.96,9.34
5.23,8.01,0.45,33.96,11.5,22.73,95,100.59,1.62,148.44,9.03
4.99,7.56,0.44,32.51,11.64,22.07,95.04,96.13,1.62,139.93,9.09
6.74,7.75,0.59,30.02,14,22.01,95.08,126.97,1.95,143.55,10.56
7.65,8.06,0.66,31.11,12.96,22.03,95.14,144.63,2.34,150.91,9.83
8.09,8.21,0.7,34.28,11.63,22.95,95.17,152.91,2.56,154.01,9.03
8.23,8.35,0.72,36.8,10.46,23.62,94.95,155.02,2.69,156.19,8.36
8,8.09,0.7,38.55,8.84,23.69,94.81,150.73,2.53,151.53,7.51
7.85,8.13,0.68,39.15,7.61,23.38,94.69,146.34,2.41,150.2,6.9
7.89,7.99,0.69,38.74,7.53,23.13,94.53,146.55,2.38,147.49,6.9
6.73,7.73,0.59,38.77,8.83,23.8,94.53,126.03,2.1,142.17,7.51
6.84,7.4,0.59,34.72,15.9,25.31,94.57,129.17,2.01,138.17,12.15
6.78,7.46,0.59,33.47,17.08,25.27,94.78,129.84,2.12,141.23,13
7.95,8.05,0.7,35.39,16.2,25.8,94.74,152.11,2.48,153.2,12.21
7.5,8.09,0.66,37.04,11.57,24.3,94.6,141.1,2.27,151.05,9.28
7.69,7.84,0.67,36.08,9.62,22.85,94.61,145.76,2.32,147.82,8.24
2.66,7.27,0.23,35.86,14.56,25.21,94.64,53.94,0.8,136.18,10.99
6.24,7.56,0.55,35.19,15.6,25.4,94.73,120.21,2.03,143.51,11.72
7.47,7.83,0.66,36.24,14.97,25.6,94.73,142.27,2.29,147.64,11.41
6.38,7.6,0.55,33.97,15.04,24.51,95.07,121.51,1.96,142.58,11.29
7.72,7.85,0.67,35.52,16.87,26.19,95.05,145.82,2.37,147.46,12.7
6.7,7.5,0.59,33.26,19.68,26.47,95.15,127.23,2.05,140.63,15.32
6.43,7.38,0.56,32.39,20.61,26.5,95.17,122.88,2.03,139.24,16.17
6.64,7.49,0.59,32.17,20.55,26.36,95.18,127.78,2.18,142.52,16.05
7.74,8.09,0.68,32.74,20.23,26.48,95.38,148.69,2.5,154.4,15.69
7.91,8.09,0.7,34.03,18.64,26.33,95.4,152.66,2.59,155.34,14.22
7.22,7.59,0.63,35.92,18.97,27.44,95.01,137.48,2.3,143.37,14.53
7.17,7.44,0.63,36.97,18.53,27.75,94.79,135.8,2.27,140,14.16
6.41,7.58,0.56,37.27,19.24,28.26,94.6,122.48,2.09,142.46,14.83
7.13,7.52,0.63,34.63,20.59,27.61,94.61,136.15,2.27,142.03,16.17
5.95,7.33,0.52,30.34,20.57,25.46,95.07,114.16,1.82,138.34,16.05
6.78,7.09,0.6,32.4,19.21,25.8,95.16,130.16,2.11,134.91,14.77
7.12,7.54,0.63,35.12,18.32,26.72,95.06,135.88,2.31,142.52,13.92
7.18,7.45,0.64,36.83,17.4,27.12,94.83,135.3,2.23,139.43,13.18
6.51,6.99,0.58,37.32,16.79,27.05,94.78,122.89,1.93,130.55,12.63
6.17,6.66,0.55,37.8,19.05,28.42,94.68,115.56,1.78,123.62,14.59
6.34,6.77,0.56,37.17,20.49,28.83,94.37,118.93,1.87,125.91,16.11
4.74,6.57,0.42,31.8,23.71,27.75,94.65,92.75,1.59,124.56,19.53
3.91,6.6,0.35,28.89,23.01,25.94,94.79,77.83,1.32,126.66,18.74
2.93,5.63,0.27,27.62,22.42,25.02,94.9,57.62,0.77,103.34,18.01
7.3,7.37,0.66,30.55,20.74,25.64,94.94,140.67,2.29,141.53,16.3
7.43,7.56,0.67,32.33,21.63,26.98,94.52,143.52,2.36,145.57,17.27
7.03,7.26,0.63,33.19,21.6,27.4,94.47,135.62,2.25,139.26,17.21
6,6.85,0.55,33.1,22.87,27.98,94.65,116.13,1.93,130.94,18.55
2.38,6.9,0.22,28.7,23.8,26.25,94.94,49.38,0.86,133.91,19.53
2.28,7.37,0.2,27.81,23.19,25.51,95.1,49.18,1.02,145.51,18.86
0.8,6.79,0.07,26.59,24.65,25.62,94.95,18.07,0.37,130.95,20.57
5.99,7.34,0.55,28.21,23.51,25.86,94.92,118.62,2.2,143.23,19.23
7.07,7.21,0.65,31.19,23.02,27.11,94.91,137.08,2.38,139.46,18.68
6.37,6.96,0.59,30.25,24.4,27.32,95.02,124.04,2.2,134.2,20.26
